2024-11-04 19:32:59,402 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Configure stats pid to 49598
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Loading settings from /home/gordon/.config/wandb/settings
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Loading settings from /home/gordon/Documents/edu/gordon_ms/Project/Benchmarker/experiments/rebel/src/outputs/2024-11-04/19-30-43/wandb/settings
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'experiments/rebel/src/train.py', 'program_abspath': '/home/gordon/Documents/edu/gordon_ms/Project/Benchmarker/experiments/rebel/src/train.py', 'program': '/home/gordon/Documents/edu/gordon_ms/Project/Benchmarker/experiments/rebel/src/train.py'}
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_init.py:_log_setup():534] Logging user logs to ./wandb/run-20241104_193259-tt3rt5wi/logs/debug.log
2024-11-04 19:32:59,403 INFO    MainThread:49598 [wandb_init.py:_log_setup():535] Logging internal logs to ./wandb/run-20241104_193259-tt3rt5wi/logs/debug-internal.log
2024-11-04 19:32:59,404 INFO    MainThread:49598 [wandb_init.py:init():621] calling init triggers
2024-11-04 19:32:59,404 INFO    MainThread:49598 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2024-11-04 19:32:59,404 INFO    MainThread:49598 [wandb_init.py:init():671] starting backend
2024-11-04 19:32:59,404 INFO    MainThread:49598 [wandb_init.py:init():675] sending inform_init request
2024-11-04 19:32:59,409 INFO    MainThread:49598 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-04 19:32:59,410 INFO    MainThread:49598 [wandb_init.py:init():688] backend started and connected
2024-11-04 19:32:59,416 INFO    MainThread:49598 [wandb_init.py:init():783] updated telemetry
2024-11-04 19:32:59,423 INFO    MainThread:49598 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-04 19:33:00,280 INFO    MainThread:49598 [wandb_init.py:init():867] starting run threads in backend
2024-11-04 19:33:00,415 INFO    MainThread:49598 [wandb_run.py:_console_start():2463] atexit reg
2024-11-04 19:33:00,415 INFO    MainThread:49598 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-04 19:33:00,415 INFO    MainThread:49598 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-04 19:33:00,416 INFO    MainThread:49598 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-04 19:33:00,421 INFO    MainThread:49598 [wandb_init.py:init():911] run started, returning control to user process
2024-11-04 19:33:01,655 WARNING MsgRouterThr:49598 [router.py:message_loop():77] message_loop has been closed
