onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.42, 0.29, 0.31, 1.00, 0.08, 0.00, 0.05
ont_2_music, 0.44, 0.33, 0.35, 1.00, 0.05, 0.00, 0.02
ont_3_sport, 0.64, 0.55, 0.57, 1.00, 0.08, 0.00, 0.05
ont_4_book, 0.42, 0.36, 0.36, 1.00, 0.04, 0.00, 0.01
ont_5_military, 0.34, 0.35, 0.34, 1.00, 0.02, 0.00, 0.06
ont_6_computer, 0.38, 0.34, 0.35, 0.97, 0.01, 0.03, 0.00
ont_7_space, 0.76, 0.75, 0.75, 1.00, 0.05, 0.00, 0.03
ont_8_politics, 0.36, 0.35, 0.35, 1.00, 0.05, 0.00, 0.05
ont_9_nature, 0.46, 0.46, 0.45, 0.92, 0.06, 0.08, 0.04
ont_10_culture, 0.61, 0.65, 0.62, 1.00, 0.02, 0.00, 0.00
