onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.24, 0.27, 0.25, 1.00, 0.05, 0.00, 0.03
ont_2_music, 0.31, 0.37, 0.33, 1.00, 0.04, 0.00, 0.00
ont_3_sport, 0.41, 0.44, 0.42, 1.00, 0.06, 0.00, 0.12
ont_4_book, 0.24, 0.45, 0.30, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.71, 0.71, 0.71, 1.00, 0.00, 0.00, 0.14
ont_6_computer, 0.40, 0.40, 0.40, 1.00, 0.00, 0.00, 0.05
ont_7_space, 0.75, 0.80, 0.77, 1.00, 0.05, 0.00, 0.20
ont_8_politics, 0.42, 0.42, 0.42, 1.00, 0.00, 0.00, 0.08
ont_9_nature, 0.58, 0.60, 0.58, 0.90, 0.00, 0.10, 0.00
ont_10_culture, 0.75, 0.75, 0.75, 1.00, 0.00, 0.00, 0.00
