onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.56, 0.48, 0.51, 1.00, 0.00, 0.00, 0.01
ont_2_musicalwork, 0.43, 0.41, 0.42, 1.00, 0.53, 0.00, 0.23
ont_3_airport, 0.49, 0.43, 0.45, 1.00, 0.00, 0.00, 0.12
ont_4_building, 0.60, 0.51, 0.54, 1.00, 0.01, 0.00, 0.13
ont_5_athlete, 0.55, 0.52, 0.53, 0.99, 0.00, 0.01, 0.15
ont_6_politician, 0.63, 0.57, 0.59, 1.00, 0.05, 0.00, 0.18
ont_7_company, 0.63, 0.58, 0.60, 1.00, 0.03, 0.00, 0.29
ont_8_celestialbody, 0.85, 0.82, 0.84, 1.00, 0.00, 0.00, 0.37
ont_9_astronaut, 0.70, 0.64, 0.66, 1.00, 0.00, 0.00, 0.32
ont_10_comicscharacter, 0.65, 0.62, 0.63, 1.00, 0.64, 0.00, 0.19
ont_11_meanoftransportation, 0.47, 0.42, 0.44, 1.00, 0.04, 0.00, 0.18
ont_12_monument, 0.26, 0.27, 0.27, 1.00, 0.00, 0.00, 0.12
ont_13_food, 0.65, 0.62, 0.63, 0.99, 0.02, 0.01, 0.06
ont_14_writtenwork, 0.67, 0.62, 0.63, 0.99, 0.09, 0.01, 0.27
ont_15_sportsteam, 0.61, 0.56, 0.58, 1.00, 0.02, 0.00, 0.11
ont_16_city, 0.50, 0.47, 0.48, 0.99, 0.33, 0.01, 0.25
ont_17_artist, 0.44, 0.38, 0.40, 0.99, 0.00, 0.01, 0.07
ont_18_scientist, 0.77, 0.73, 0.74, 1.00, 0.00, 0.00, 0.25
ont_19_film, 0.42, 0.38, 0.40, 0.99, 0.01, 0.01, 0.16
