median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.464286, 0.468750, 0.464286, 1.000000, 0.000000, 0.000000, 0.043519
wikidata_tekgen, verified, 0.555773, 0.489447, 0.485388, 1.000000, 0.035783, 0.000000, 0.036265
wikidata_tekgen, all, 0.513321, 0.397943, 0.409021, 1.000000, 0.073803, 0.000000, 0.042835
dbpedia_webnlg, all, 0.599515, 0.571028, 0.584840, 1.000000, 0.014493, 0.000000, 0.177193

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.316840, 0.357143, 0.328241, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.500822, 0.399782, 0.416872, 1.000000, 0.015023, 0.000000, 0.026392
wikidata_tekgen, all, 0.465141, 0.370144, 0.388264, 1.000000, 0.043684, 0.000000, 0.026242
dbpedia_webnlg, all, 0.497511, 0.444619, 0.458737, 0.996255, 0.001618, 0.000000, 0.117939

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.650000, 0.650000, 0.650000, 1.000000, 0.014423, 0.000000, 0.069196
wikidata_tekgen, verified, 0.699875, 0.664538, 0.667775, 1.000000, 0.062655, 0.000000, 0.046690
wikidata_tekgen, all, 0.668254, 0.591323, 0.613971, 1.000000, 0.094673, 0.000000, 0.048324
dbpedia_webnlg, all, 0.698643, 0.641507, 0.655554, 1.000000, 0.052371, 0.003745, 0.271833

