onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.53, 0.36, 0.39, 1.00, 0.12, 0.00, 0.05
ont_2_music, 0.59, 0.42, 0.46, 1.00, 0.07, 0.00, 0.04
ont_3_sport, 0.67, 0.58, 0.60, 1.00, 0.08, 0.00, 0.05
ont_4_book, 0.48, 0.39, 0.40, 1.00, 0.01, 0.00, 0.03
ont_5_military, 0.34, 0.36, 0.34, 1.00, 0.05, 0.00, 0.03
ont_6_computer, 0.52, 0.49, 0.49, 0.95, 0.00, 0.05, 0.01
ont_7_space, 0.85, 0.81, 0.82, 1.00, 0.02, 0.00, 0.03
ont_8_politics, 0.49, 0.49, 0.48, 1.00, 0.05, 0.00, 0.04
ont_9_nature, 0.71, 0.69, 0.69, 1.00, 0.02, 0.00, 0.07
ont_10_culture, 0.81, 0.82, 0.81, 1.00, 0.00, 0.00, 0.00
