onto,              P,    R,   F1,   OC,   SH,   RH,   OH
ont_1_movie,    0.37, 0.27, 0.28, 1.00, 0.04, 0.00, 0.05
ont_2_music,    0.38, 0.29, 0.31, 1.00, 0.04, 0.00, 0.02
ont_3_sport,    0.55, 0.48, 0.49, 1.00, 0.06, 0.00, 0.05
ont_4_book,     0.37, 0.34, 0.33, 1.00, 0.03, 0.00, 0.02
ont_5_military, 0.29, 0.30, 0.29, 1.00, 0.03, 0.00, 0.04
ont_6_computer, 0.33, 0.31, 0.31, 0.98, 0.00, 0.02, 0.01
ont_7_space,    0.74, 0.74, 0.73, 1.00, 0.03, 0.00, 0.04
ont_8_politics, 0.34, 0.34, 0.34, 1.00, 0.02, 0.00, 0.04
ont_9_nature,   0.40, 0.40, 0.39, 1.00, 0.03, 0.00, 0.05
ont_10_culture, 0.52, 0.54, 0.53, 1.00, 0.01, 0.00, 0.00
