median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.411458, 0.443750, 0.416667, 1.000000, 0.000000, 0.000000, 0.037821
wikidata_tekgen, verified, 0.492492, 0.436880, 0.427240, 1.000000, 0.024348, 0.000000, 0.032322
wikidata_tekgen, all, 0.433557, 0.355695, 0.356038, 1.000000, 0.046758, 0.000000, 0.031159
dpedia_webnlg, all, 0.571197, 0.489408, 0.514968, 1.000000, 0.003623, 0.000000, 0.157407

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.336111, 0.404167, 0.344444, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.456850, 0.391682, 0.405009, 1.000000, 0.014343, 0.000000, 0.018298
wikidata_tekgen, all, 0.391294, 0.346221, 0.349669, 1.000000, 0.024448, 0.000000, 0.016093
dpedia_webnlg, all, 0.450818, 0.410489, 0.422307, 0.991133, 0.000000, 0.000000, 0.106647

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.679464, 0.685714, 0.681548, 1.000000, 0.046759, 0.000000, 0.114583
wikidata_tekgen, verified, 0.611590, 0.595032, 0.589925, 1.000000, 0.044285, 0.000000, 0.042683
wikidata_tekgen, all, 0.574746, 0.526225, 0.539969, 1.000000, 0.058254, 0.000000, 0.047837
dpedia_webnlg, all, 0.632249, 0.589257, 0.604360, 1.000000, 0.056771, 0.008867, 0.219606

