onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.45, 0.30, 0.33, 1.00, 0.10, 0.00, 0.05
ont_2_music, 0.48, 0.35, 0.37, 1.00, 0.06, 0.00, 0.03
ont_3_sport, 0.66, 0.57, 0.59, 1.00, 0.10, 0.00, 0.05
ont_4_book, 0.43, 0.36, 0.36, 1.00, 0.04, 0.00, 0.03
ont_5_military, 0.34, 0.35, 0.34, 1.00, 0.04, 0.00, 0.07
ont_6_computer, 0.42, 0.37, 0.38, 0.94, 0.00, 0.06, 0.01
ont_7_space, 0.79, 0.76, 0.77, 1.00, 0.04, 0.00, 0.03
ont_8_politics, 0.36, 0.35, 0.35, 1.00, 0.05, 0.00, 0.05
ont_9_nature, 0.52, 0.51, 0.50, 1.00, 0.09, 0.00, 0.05
ont_10_culture, 0.65, 0.66, 0.65, 1.00, 0.01, 0.00, 0.00
