onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.55, 0.49, 0.51, 1.00, 0.00, 0.00, 0.01
ont_2_musicalwork, 0.44, 0.42, 0.43, 0.99, 0.58, 0.01, 0.24
ont_3_airport, 0.53, 0.45, 0.48, 1.00, 0.00, 0.00, 0.14
ont_4_building, 0.59, 0.51, 0.54, 1.00, 0.01, 0.00, 0.12
ont_5_athlete, 0.57, 0.53, 0.55, 1.00, 0.00, 0.00, 0.14
ont_6_politician, 0.65, 0.59, 0.61, 1.00, 0.07, 0.00, 0.20
ont_7_company, 0.65, 0.57, 0.60, 1.00, 0.01, 0.00, 0.25
ont_8_celestialbody, 0.86, 0.84, 0.85, 1.00, 0.00, 0.00, 0.38
ont_9_astronaut, 0.72, 0.67, 0.69, 1.00, 0.00, 0.00, 0.31
ont_10_comicscharacter, 0.69, 0.64, 0.66, 1.00, 0.69, 0.00, 0.19
ont_11_meanoftransportation, 0.51, 0.43, 0.46, 1.00, 0.01, 0.00, 0.21
ont_12_monument, 0.27, 0.28, 0.27, 1.00, 0.00, 0.00, 0.13
ont_13_food, 0.68, 0.64, 0.65, 1.00, 0.02, 0.00, 0.06
ont_14_writtenwork, 0.68, 0.63, 0.65, 0.99, 0.07, 0.01, 0.27
ont_15_sportsteam, 0.62, 0.56, 0.58, 1.00, 0.03, 0.00, 0.10
ont_16_city, 0.57, 0.55, 0.55, 1.00, 0.35, 0.00, 0.30
ont_17_artist, 0.41, 0.38, 0.39, 0.99, 0.00, 0.01, 0.07
ont_18_scientist, 0.78, 0.74, 0.75, 1.00, 0.00, 0.00, 0.25
ont_19_film, 0.44, 0.40, 0.41, 1.00, 0.02, 0.00, 0.15
