onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.23, 0.23, 0.23, 1.00, 0.04, 0.00, 0.04
ont_2_music, 0.38, 0.41, 0.39, 1.00, 0.04, 0.00, 0.04
ont_3_sport, 0.38, 0.38, 0.38, 1.00, 0.00, 0.00, 0.12
ont_4_book, 0.21, 0.30, 0.23, 1.00, 0.05, 0.00, 0.00
ont_5_military, 0.50, 0.50, 0.50, 1.00, 0.00, 0.00, 0.14
ont_6_computer, 0.55, 0.55, 0.55, 0.80, 0.00, 0.20, 0.05
ont_7_space, 0.80, 0.80, 0.80, 1.00, 0.00, 0.00, 0.20
ont_8_politics, 0.25, 0.25, 0.25, 1.00, 0.00, 0.00, 0.08
ont_9_nature, 0.70, 0.70, 0.70, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00
