onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.52, 0.36, 0.39, 1.00, 0.13, 0.00, 0.05
ont_2_music, 0.57, 0.42, 0.46, 1.00, 0.04, 0.00, 0.04
ont_3_sport, 0.69, 0.59, 0.61, 1.00, 0.08, 0.00, 0.05
ont_4_book, 0.49, 0.39, 0.41, 0.99, 0.02, 0.01, 0.01
ont_5_military, 0.38, 0.41, 0.39, 1.00, 0.05, 0.00, 0.04
ont_6_computer, 0.48, 0.47, 0.47, 0.93, 0.00, 0.07, 0.01
ont_7_space, 0.87, 0.84, 0.84, 1.00, 0.04, 0.00, 0.03
ont_8_politics, 0.45, 0.45, 0.44, 1.00, 0.03, 0.00, 0.08
ont_9_nature, 0.71, 0.69, 0.69, 1.00, 0.03, 0.00, 0.07
ont_10_culture, 0.83, 0.84, 0.83, 1.00, 0.00, 0.00, 0.04
