median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.110477, 0.414530, 0.169643, 1.000000, 0.023148, 0.000000, 0.032429
wikidata_tekgen, verified, 0.117157, 0.309643, 0.163954, 1.000000, 0.022153, 0.000000, 0.019204
wikidata_tekgen, all, 0.110321, 0.284819, 0.132210, 1.000000, 0.022061, 0.000000, 0.023287
dbpedia_webnlg, all, 0.103245, 0.184211, 0.118592, 1.000000, 0.008260, 0.000000, 0.021784

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.076705, 0.356250, 0.129370, 1.000000, 0.012062, 0.000000, 0.013531
wikidata_tekgen, verified, 0.077932, 0.248766, 0.120733, 1.000000, 0.011483, 0.000000, 0.014253
wikidata_tekgen, all, 0.070099, 0.213501, 0.110534, 1.000000, 0.018150, 0.000000, 0.019586
dbpedia_webnlg, all, 0.066270, 0.097576, 0.069362, 1.000000, 0.005371, 0.000000, 0.008937

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.120938, 0.595833, 0.179438, 1.000000, 0.030180, 0.000000, 0.062292
wikidata_tekgen, verified, 0.148304, 0.426779, 0.189382, 1.000000, 0.028672, 0.000000, 0.032627
wikidata_tekgen, all, 0.124755, 0.328245, 0.166626, 1.000000, 0.030912, 0.000000, 0.029231
dbpedia_webnlg, all, 0.126641, 0.226305, 0.149603, 1.000000, 0.013288, 0.000000, 0.028991

