onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.09, 0.15, 0.11, 0.33, 0.00, 0.67, 0.01
ont_2_musicalwork, 0.00, 0.01, 0.00, 0.30, 0.02, 0.70, 0.00
ont_3_airport, 0.02, 0.06, 0.03, 0.22, 0.00, 0.78, 0.01
ont_4_building, 0.09, 0.20, 0.12, 0.40, 0.00, 0.60, 0.01
ont_5_athlete, 0.01, 0.04, 0.01, 0.02, 0.01, 0.98, 0.03
ont_6_politician, 0.03, 0.07, 0.04, 0.23, 0.01, 0.77, 0.02
ont_7_company, 0.01, 0.06, 0.02, 0.17, 0.01, 0.83, 0.02
ont_8_celestialbody, 0.00, 0.00, 0.00, 0.01, 0.03, 0.99, 0.02
ont_9_astronaut, 0.02, 0.05, 0.03, 0.03, 0.01, 0.97, 0.03
ont_10_comicscharacter, 0.06, 0.14, 0.09, 0.48, 0.01, 0.52, 0.01
ont_11_meanoftransportation, 0.05, 0.12, 0.07, 0.45, 0.01, 0.55, 0.03
ont_12_monument, 0.01, 0.04, 0.02, 0.37, 0.01, 0.63, 0.00
ont_13_food, 0.06, 0.13, 0.08, 0.31, 0.01, 0.69, 0.04
ont_14_writtenwork, 0.09, 0.18, 0.11, 0.53, 0.02, 0.47, 0.03
ont_15_sportsteam, 0.08, 0.13, 0.09, 0.29, 0.00, 0.71, 0.02
ont_16_city, 0.06, 0.19, 0.09, 0.43, 0.01, 0.57, 0.04
ont_17_artist, 0.12, 0.23, 0.16, 0.47, 0.00, 0.53, 0.01
ont_18_scientist, 0.03, 0.09, 0.04, 0.13, 0.02, 0.87, 0.03
ont_19_film, 0.02, 0.09, 0.02, 0.19, 0.01, 0.81, 0.03
