onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.11, 0.30, 0.15, 0.48, 0.04, 0.52, 0.02
ont_2_music, 0.12, 0.43, 0.18, 0.58, 0.04, 0.42, 0.01
ont_3_sport, 0.07, 0.35, 0.12, 0.45, 0.02, 0.55, 0.01
ont_4_book, 0.09, 0.38, 0.14, 0.45, 0.02, 0.55, 0.01
ont_5_military, 0.04, 0.24, 0.07, 0.13, 0.02, 0.87, 0.03
ont_6_computer, 0.09, 0.35, 0.13, 0.34, 0.02, 0.66, 0.01
ont_7_space, 0.09, 0.50, 0.16, 0.22, 0.02, 0.78, 0.02
ont_8_politics, 0.06, 0.43, 0.11, 0.36, 0.03, 0.64, 0.03
ont_9_nature, 0.06, 0.35, 0.10, 0.39, 0.02, 0.61, 0.03
ont_10_culture, 0.01, 0.10, 0.02, 0.25, 0.03, 0.75, 0.01
