onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.13, 0.37, 0.18, 0.54, 0.03, 0.46, 0.03
ont_2_music, 0.12, 0.50, 0.19, 0.57, 0.04, 0.43, 0.02
ont_3_sport, 0.06, 0.36, 0.10, 0.46, 0.01, 0.54, 0.02
ont_4_book, 0.11, 0.44, 0.16, 0.49, 0.02, 0.51, 0.01
ont_5_military, 0.04, 0.20, 0.06, 0.10, 0.03, 0.90, 0.05
ont_6_computer, 0.09, 0.48, 0.14, 0.37, 0.02, 0.63, 0.03
ont_7_space, 0.10, 0.59, 0.17, 0.24, 0.03, 0.76, 0.02
ont_8_politics, 0.07, 0.52, 0.12, 0.42, 0.02, 0.58, 0.04
ont_9_nature, 0.07, 0.49, 0.12, 0.45, 0.02, 0.55, 0.02
ont_10_culture, 0.01, 0.07, 0.01, 0.29, 0.02, 0.71, 0.02
