median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.051763, 0.367308, 0.090249, 1.000000, 0.031635, 0.000000, 0.039923
wikidata_tekgen, verified, 0.062021, 0.281666, 0.100182, 1.000000, 0.025752, 0.000000, 0.023610
wikidata_tekgen, all, 0.055289, 0.252430, 0.086950, 1.000000, 0.033863, 0.000000, 0.029264
dpedia_webnlg, all, 0.079628, 0.184211, 0.105607, 1.000000, 0.011382, 0.000000, 0.026440

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.041714, 0.308333, 0.073536, 1.000000, 0.023285, 0.000000, 0.020907
wikidata_tekgen, verified, 0.046402, 0.258590, 0.076202, 1.000000, 0.020907, 0.000000, 0.021615
wikidata_tekgen, all, 0.036708, 0.235717, 0.062617, 1.000000, 0.025038, 0.000000, 0.026842
dpedia_webnlg, all, 0.054185, 0.125625, 0.073547, 1.000000, 0.006055, 0.000000, 0.010727

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.075533, 0.487500, 0.131325, 1.000000, 0.050149, 0.000000, 0.077547
wikidata_tekgen, verified, 0.085040, 0.325335, 0.126329, 1.000000, 0.030047, 0.000000, 0.036355
wikidata_tekgen, all, 0.079848, 0.302129, 0.122484, 1.000000, 0.039986, 0.000000, 0.036288
dpedia_webnlg, all, 0.120692, 0.280246, 0.158492, 1.000000, 0.017494, 0.000000, 0.031995

