onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.00, 0.00, 0.00, 1.00, 0.04, 0.00, 0.00
ont_2_music, 0.04, 0.11, 0.05, 1.00, 0.01, 0.00, 0.00
ont_3_sport, 0.03, 0.19, 0.06, 1.00, 0.05, 0.00, 0.03
ont_4_book, 0.04, 0.10, 0.06, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.12, 0.29, 0.15, 1.00, 0.05, 0.00, 0.17
ont_6_computer, 0.05, 0.05, 0.05, 1.00, 0.00, 0.00, 0.00
ont_7_space, 0.01, 0.10, 0.02, 1.00, 0.15, 0.00, 0.12
ont_8_politics, 0.04, 0.17, 0.06, 1.00, 0.00, 0.00, 0.01
ont_9_nature, 0.11, 0.30, 0.15, 1.00, 0.02, 0.00, 0.01
ont_10_culture, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
