onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.11, 0.34, 0.15, 0.47, 0.04, 0.53, 0.03
ont_2_music, 0.12, 0.44, 0.17, 0.58, 0.05, 0.42, 0.03
ont_3_sport, 0.07, 0.38, 0.11, 0.44, 0.02, 0.56, 0.03
ont_4_book, 0.09, 0.41, 0.13, 0.45, 0.04, 0.55, 0.02
ont_5_military, 0.04, 0.25, 0.06, 0.12, 0.02, 0.88, 0.04
ont_6_computer, 0.09, 0.38, 0.13, 0.34, 0.03, 0.66, 0.03
ont_7_space, 0.08, 0.50, 0.14, 0.20, 0.02, 0.80, 0.03
ont_8_politics, 0.06, 0.44, 0.11, 0.36, 0.03, 0.64, 0.04
ont_9_nature, 0.05, 0.36, 0.09, 0.38, 0.03, 0.62, 0.04
ont_10_culture, 0.01, 0.11, 0.02, 0.25, 0.04, 0.75, 0.02
