onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.20, 0.23, 0.20, 0.54, 0.03, 0.46, 0.01
ont_2_music, 0.23, 0.33, 0.25, 0.65, 0.02, 0.35, 0.01
ont_3_sport, 0.14, 0.25, 0.17, 0.47, 0.01, 0.53, 0.01
ont_4_book, 0.20, 0.28, 0.22, 0.54, 0.02, 0.46, 0.01
ont_5_military, 0.05, 0.13, 0.07, 0.12, 0.01, 0.88, 0.02
ont_6_computer, 0.13, 0.21, 0.15, 0.40, 0.01, 0.60, 0.01
ont_7_space, 0.23, 0.48, 0.31, 0.32, 0.01, 0.68, 0.01
ont_8_politics, 0.17, 0.36, 0.22, 0.44, 0.03, 0.56, 0.03
ont_9_nature, 0.11, 0.30, 0.15, 0.46, 0.01, 0.54, 0.02
ont_10_culture, 0.04, 0.07, 0.05, 0.34, 0.01, 0.66, 0.00
