onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.17, 0.31, 0.21, 1.00, 0.00, 0.00, 0.00
ont_2_music, 0.22, 0.30, 0.25, 1.00, 0.00, 0.00, 0.00
ont_3_sport, 0.09, 0.12, 0.10, 1.00, 0.00, 0.00, 0.00
ont_4_book, 0.20, 0.30, 0.23, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.14, 0.14, 0.14, 1.00, 0.00, 0.00, 0.07
ont_6_computer, 0.28, 0.40, 0.32, 1.00, 0.00, 0.00, 0.03
ont_7_space, 0.25, 0.30, 0.27, 1.00, 0.05, 0.00, 0.10
ont_8_politics, 0.29, 0.33, 0.31, 1.00, 0.00, 0.00, 0.08
ont_9_nature, 0.28, 0.45, 0.33, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.06, 0.12, 0.08, 1.00, 0.00, 0.00, 0.00
