onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.14, 0.27, 0.18, 1.00, 0.00, 0.00, 0.00
ont_2_music, 0.25, 0.33, 0.28, 1.00, 0.00, 0.00, 0.00
ont_3_sport, 0.06, 0.12, 0.08, 1.00, 0.00, 0.00, 0.00
ont_4_book, 0.15, 0.25, 0.18, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.27, 0.50, 0.34, 1.00, 0.00, 0.00, 0.11
ont_6_computer, 0.15, 0.20, 0.17, 1.00, 0.00, 0.00, 0.00
ont_7_space, 0.25, 0.40, 0.30, 1.00, 0.15, 0.00, 0.10
ont_8_politics, 0.17, 0.33, 0.22, 1.00, 0.00, 0.00, 0.08
ont_9_nature, 0.24, 0.55, 0.33, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.19, 0.25, 0.21, 1.00, 0.00, 0.00, 0.00
