onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.24, 0.26, 0.23, 1.00, 0.02, 0.00, 0.02
ont_2_music, 0.25, 0.27, 0.24, 1.00, 0.01, 0.00, 0.01
ont_3_sport, 0.11, 0.20, 0.13, 1.00, 0.00, 0.00, 0.00
ont_4_book, 0.21, 0.21, 0.19, 1.00, 0.01, 0.00, 0.00
ont_5_military, 0.14, 0.22, 0.16, 1.00, 0.00, 0.00, 0.04
ont_6_computer, 0.14, 0.14, 0.13, 1.00, 0.00, 0.00, 0.00
ont_7_space, 0.32, 0.60, 0.41, 1.00, 0.02, 0.00, 0.01
ont_8_politics, 0.20, 0.34, 0.24, 1.00, 0.01, 0.00, 0.04
ont_9_nature, 0.20, 0.46, 0.26, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.09, 0.12, 0.10, 1.00, 0.00, 0.00, 0.00
