onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.11, 0.38, 0.17, 0.70, 0.01, 0.30, 0.01
ont_2_music, 0.10, 0.30, 0.15, 0.63, 0.02, 0.37, 0.00
ont_3_sport, 0.05, 0.12, 0.07, 0.49, 0.02, 0.51, 0.02
ont_4_book, 0.11, 0.35, 0.16, 0.58, 0.00, 0.42, 0.00
ont_5_military, 0.05, 0.21, 0.09, 0.07, 0.05, 0.93, 0.15
ont_6_computer, 0.14, 0.50, 0.21, 0.48, 0.02, 0.52, 0.04
ont_7_space, 0.09, 0.30, 0.14, 0.18, 0.16, 0.82, 0.08
ont_8_politics, 0.15, 0.50, 0.23, 0.60, 0.00, 0.40, 0.00
ont_9_nature, 0.13, 0.45, 0.20, 0.53, 0.03, 0.47, 0.00
ont_10_culture, 0.03, 0.12, 0.05, 0.23, 0.00, 0.77, 0.00
