median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.186883, 0.325000, 0.230340, 1.000000, 0.005000, 0.000000, 0.010417
wikidata_tekgen, verified, 0.285478, 0.354437, 0.297344, 1.000000, 0.006063, 0.000000, 0.010637
wikidata_tekgen, all, 0.234413, 0.317491, 0.239610, 1.000000, 0.018619, 0.000000, 0.008894
dpedia_webnlg, all, 0.102941, 0.068627, 0.063135, 1.000000, 0.000000, 0.000000, 0.005455

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.155220, 0.234788, 0.193498, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.220507, 0.284598, 0.233436, 1.000000, 0.000669, 0.000000, 0.005114
wikidata_tekgen, all, 0.202288, 0.264108, 0.228337, 1.000000, 0.004148, 0.000000, 0.004952
dpedia_webnlg, all, 0.050864, 0.034701, 0.042453, 1.000000, 0.000000, 0.000000, 0.000000

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.229167, 0.396154, 0.256250, 1.000000, 0.018472, 0.000000, 0.056250
wikidata_tekgen, verified, 0.303139, 0.457261, 0.330062, 1.000000, 0.014187, 0.000000, 0.019130
wikidata_tekgen, all, 0.276594, 0.366970, 0.293153, 1.000000, 0.030849, 0.000000, 0.013502
dpedia_webnlg, all, 0.198828, 0.124945, 0.151493, 1.000000, 0.010427, 0.000000, 0.023235

