onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.29, 0.35, 0.29, 1.00, 0.02, 0.00, 0.02
ont_2_music, 0.31, 0.42, 0.33, 1.00, 0.03, 0.00, 0.02
ont_3_sport, 0.23, 0.29, 0.24, 1.00, 0.01, 0.00, 0.00
ont_4_book, 0.29, 0.36, 0.30, 1.00, 0.01, 0.00, 0.00
ont_5_military, 0.11, 0.14, 0.12, 1.00, 0.00, 0.00, 0.03
ont_6_computer, 0.22, 0.28, 0.23, 1.00, 0.01, 0.00, 0.01
ont_7_space, 0.49, 0.58, 0.52, 1.00, 0.01, 0.00, 0.01
ont_8_politics, 0.33, 0.49, 0.38, 1.00, 0.00, 0.00, 0.03
ont_9_nature, 0.28, 0.47, 0.33, 1.00, 0.00, 0.00, 0.01
ont_10_culture, 0.03, 0.07, 0.04, 1.00, 0.00, 0.00, 0.00
