onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.18, 0.24, 0.19, 1.00, 0.03, 0.00, 0.02
ont_2_music, 0.20, 0.28, 0.21, 1.00, 0.04, 0.00, 0.01
ont_3_sport, 0.08, 0.18, 0.10, 1.00, 0.01, 0.00, 0.02
ont_4_book, 0.15, 0.22, 0.16, 1.00, 0.02, 0.00, 0.00
ont_5_military, 0.12, 0.23, 0.15, 1.00, 0.02, 0.00, 0.03
ont_6_computer, 0.12, 0.13, 0.12, 1.00, 0.03, 0.00, 0.01
ont_7_space, 0.20, 0.55, 0.29, 1.00, 0.01, 0.00, 0.01
ont_8_politics, 0.12, 0.30, 0.17, 1.00, 0.02, 0.00, 0.04
ont_9_nature, 0.10, 0.30, 0.14, 1.00, 0.01, 0.00, 0.01
ont_10_culture, 0.08, 0.15, 0.10, 1.00, 0.00, 0.00, 0.00
