onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.10, 0.38, 0.16, 0.71, 0.01, 0.29, 0.01
ont_2_music, 0.08, 0.30, 0.13, 0.62, 0.02, 0.38, 0.00
ont_3_sport, 0.04, 0.12, 0.06, 0.45, 0.02, 0.55, 0.03
ont_4_book, 0.09, 0.35, 0.15, 0.58, 0.00, 0.42, 0.00
ont_5_military, 0.05, 0.21, 0.09, 0.07, 0.05, 0.93, 0.15
ont_6_computer, 0.13, 0.50, 0.20, 0.47, 0.01, 0.53, 0.05
ont_7_space, 0.09, 0.30, 0.14, 0.18, 0.16, 0.82, 0.08
ont_8_politics, 0.15, 0.50, 0.23, 0.58, 0.02, 0.42, 0.05
ont_9_nature, 0.13, 0.45, 0.20, 0.55, 0.03, 0.45, 0.00
ont_10_culture, 0.03, 0.12, 0.05, 0.23, 0.00, 0.77, 0.00
