onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.11, 0.13, 0.11, 0.35, 0.00, 0.65, 0.00
ont_2_musicalwork, 0.00, 0.00, 0.00, 0.31, 0.02, 0.69, 0.00
ont_3_airport, 0.04, 0.05, 0.04, 0.27, 0.00, 0.73, 0.00
ont_4_building, 0.11, 0.17, 0.13, 0.40, 0.00, 0.60, 0.01
ont_5_athlete, 0.01, 0.03, 0.01, 0.03, 0.01, 0.97, 0.01
ont_6_politician, 0.03, 0.05, 0.03, 0.21, 0.01, 0.79, 0.02
ont_7_company, 0.01, 0.02, 0.01, 0.17, 0.01, 0.83, 0.01
ont_8_celestialbody, 0.00, 0.00, 0.00, 0.01, 0.00, 0.99, 0.01
ont_9_astronaut, 0.03, 0.04, 0.04, 0.03, 0.00, 0.97, 0.01
ont_10_comicscharacter, 0.08, 0.12, 0.10, 0.54, 0.01, 0.46, 0.02
ont_11_meanoftransportation, 0.07, 0.11, 0.08, 0.45, 0.01, 0.55, 0.03
ont_12_monument, 0.02, 0.04, 0.02, 0.39, 0.00, 0.61, 0.00
ont_13_food, 0.06, 0.10, 0.07, 0.32, 0.01, 0.68, 0.03
ont_14_writtenwork, 0.11, 0.17, 0.13, 0.54, 0.02, 0.46, 0.02
ont_15_sportsteam, 0.10, 0.12, 0.11, 0.34, 0.01, 0.66, 0.01
ont_16_city, 0.07, 0.17, 0.10, 0.42, 0.01, 0.58, 0.03
ont_17_artist, 0.18, 0.21, 0.19, 0.48, 0.00, 0.52, 0.01
ont_18_scientist, 0.03, 0.07, 0.04, 0.13, 0.01, 0.87, 0.02
ont_19_film, 0.02, 0.08, 0.03, 0.18, 0.01, 0.82, 0.02
