onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.23, 0.30, 0.24, 1.00, 0.03, 0.00, 0.01
ont_2_music, 0.25, 0.40, 0.29, 1.00, 0.05, 0.00, 0.02
ont_3_sport, 0.21, 0.35, 0.24, 1.00, 0.01, 0.00, 0.01
ont_4_book, 0.25, 0.37, 0.28, 1.00, 0.04, 0.00, 0.01
ont_5_military, 0.16, 0.19, 0.17, 1.00, 0.00, 0.00, 0.01
ont_6_computer, 0.23, 0.30, 0.25, 1.00, 0.03, 0.00, 0.00
ont_7_space, 0.36, 0.50, 0.41, 1.00, 0.01, 0.00, 0.01
ont_8_politics, 0.25, 0.42, 0.29, 1.00, 0.02, 0.00, 0.04
ont_9_nature, 0.18, 0.34, 0.22, 1.00, 0.00, 0.00, 0.01
ont_10_culture, 0.04, 0.11, 0.06, 1.00, 0.03, 0.00, 0.00
