onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.17, 0.36, 0.21, 0.56, 0.03, 0.44, 0.03
ont_2_music, 0.16, 0.47, 0.23, 0.61, 0.03, 0.39, 0.02
ont_3_sport, 0.09, 0.35, 0.14, 0.46, 0.01, 0.54, 0.01
ont_4_book, 0.15, 0.41, 0.21, 0.53, 0.02, 0.47, 0.01
ont_5_military, 0.03, 0.14, 0.05, 0.10, 0.02, 0.90, 0.04
ont_6_computer, 0.11, 0.40, 0.16, 0.39, 0.02, 0.61, 0.03
ont_7_space, 0.15, 0.59, 0.23, 0.28, 0.03, 0.72, 0.01
ont_8_politics, 0.11, 0.52, 0.18, 0.46, 0.02, 0.54, 0.04
ont_9_nature, 0.10, 0.47, 0.17, 0.48, 0.01, 0.52, 0.01
ont_10_culture, 0.01, 0.07, 0.02, 0.31, 0.01, 0.69, 0.01
