onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.31, 0.31, 0.29, 0.99, 0.14, 0.01, 0.08
ont_2_music, 0.36, 0.37, 0.34, 0.99, 0.09, 0.01, 0.06
ont_3_sport, 0.42, 0.51, 0.42, 0.96, 0.11, 0.04, 0.06
ont_4_book, 0.32, 0.40, 0.33, 0.99, 0.08, 0.01, 0.04
ont_5_military, 0.22, 0.28, 0.24, 0.95, 0.07, 0.05, 0.09
ont_6_computer, 0.38, 0.39, 0.37, 0.86, 0.03, 0.14, 0.01
ont_7_space, 0.72, 0.76, 0.73, 0.99, 0.07, 0.01, 0.04
ont_8_politics, 0.32, 0.38, 0.34, 0.98, 0.07, 0.02, 0.09
ont_9_nature, 0.37, 0.45, 0.39, 0.99, 0.09, 0.01, 0.06
ont_10_culture, 0.47, 0.59, 0.51, 0.99, 0.04, 0.01, 0.00
