onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.54, 0.53, 0.53, 0.98, 0.00, 0.02, 0.06
ont_2_musicalwork, 0.34, 0.35, 0.34, 0.98, 0.55, 0.02, 0.22
ont_3_airport, 0.46, 0.43, 0.44, 1.00, 0.00, 0.00, 0.14
ont_4_building, 0.54, 0.51, 0.52, 1.00, 0.00, 0.00, 0.10
ont_5_athlete, 0.51, 0.50, 0.50, 0.98, 0.01, 0.02, 0.17
ont_6_politician, 0.54, 0.51, 0.52, 1.00, 0.06, 0.00, 0.19
ont_7_company, 0.62, 0.61, 0.61, 1.00, 0.00, 0.00, 0.28
ont_8_celestialbody, 0.80, 0.81, 0.80, 1.00, 0.06, 0.00, 0.41
ont_9_astronaut, 0.69, 0.68, 0.68, 0.98, 0.02, 0.02, 0.33
ont_10_comicscharacter, 0.60, 0.56, 0.58, 0.99, 0.58, 0.01, 0.21
ont_11_meanoftransportation, 0.39, 0.39, 0.39, 0.99, 0.01, 0.01, 0.23
ont_12_monument, 0.21, 0.22, 0.21, 1.00, 0.00, 0.00, 0.16
ont_13_food, 0.60, 0.59, 0.59, 0.99, 0.02, 0.01, 0.07
ont_14_writtenwork, 0.62, 0.62, 0.62, 1.00, 0.08, 0.00, 0.24
ont_15_sportsteam, 0.58, 0.56, 0.57, 1.00, 0.05, 0.00, 0.12
ont_16_city, 0.44, 0.45, 0.44, 1.00, 0.39, 0.00, 0.24
ont_17_artist, 0.38, 0.36, 0.37, 1.00, 0.00, 0.00, 0.06
ont_18_scientist, 0.71, 0.69, 0.70, 0.99, 0.01, 0.01, 0.25
ont_19_film, 0.42, 0.41, 0.41, 1.00, 0.03, 0.00, 0.16
