onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.16, 0.23, 0.18, 0.98, 0.04, 0.02, 0.05
ont_2_music, 0.31, 0.37, 0.33, 1.00, 0.00, 0.00, 0.05
ont_3_sport, 0.27, 0.38, 0.30, 1.00, 0.00, 0.00, 0.11
ont_4_book, 0.27, 0.40, 0.31, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.57, 0.57, 0.57, 1.00, 0.00, 0.00, 0.18
ont_6_computer, 0.42, 0.45, 0.43, 0.80, 0.00, 0.20, 0.05
ont_7_space, 0.75, 0.80, 0.77, 1.00, 0.00, 0.00, 0.20
ont_8_politics, 0.58, 0.58, 0.58, 1.00, 0.08, 0.00, 0.08
ont_9_nature, 0.75, 0.80, 0.77, 1.00, 0.00, 0.00, 0.03
ont_10_culture, 0.75, 0.88, 0.79, 1.00, 0.00, 0.00, 0.00
