onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.44, 0.38, 0.38, 1.00, 0.16, 0.00, 0.08
ont_2_music, 0.46, 0.41, 0.41, 1.00, 0.10, 0.00, 0.06
ont_3_sport, 0.55, 0.54, 0.52, 0.99, 0.09, 0.01, 0.08
ont_4_book, 0.42, 0.45, 0.40, 1.00, 0.03, 0.00, 0.03
ont_5_military, 0.29, 0.32, 0.29, 0.99, 0.07, 0.01, 0.03
ont_6_computer, 0.47, 0.50, 0.46, 0.84, 0.00, 0.16, 0.01
ont_7_space, 0.84, 0.87, 0.84, 1.00, 0.02, 0.00, 0.05
ont_8_politics, 0.43, 0.46, 0.44, 0.98, 0.04, 0.02, 0.10
ont_9_nature, 0.64, 0.71, 0.66, 1.00, 0.04, 0.00, 0.04
ont_10_culture, 0.71, 0.81, 0.74, 1.00, 0.00, 0.00, 0.00
