onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.42, 0.27, 0.30, 1.00, 0.07, 0.00, 0.04
ont_2_music, 0.46, 0.32, 0.35, 1.00, 0.04, 0.00, 0.03
ont_3_sport, 0.64, 0.54, 0.57, 1.00, 0.08, 0.00, 0.04
ont_4_book, 0.42, 0.33, 0.34, 1.00, 0.04, 0.00, 0.02
ont_5_military, 0.34, 0.34, 0.33, 1.00, 0.02, 0.00, 0.07
ont_6_computer, 0.37, 0.34, 0.34, 0.97, 0.01, 0.03, 0.00
ont_7_space, 0.79, 0.77, 0.77, 1.00, 0.04, 0.00, 0.03
ont_8_politics, 0.35, 0.33, 0.34, 1.00, 0.02, 0.00, 0.06
ont_9_nature, 0.48, 0.47, 0.47, 1.00, 0.07, 0.00, 0.05
ont_10_culture, 0.66, 0.68, 0.67, 1.00, 0.03, 0.00, 0.00
