onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.58, 0.44, 0.48, 1.00, 0.00, 0.00, 0.01
ont_2_musicalwork, 0.37, 0.33, 0.34, 1.00, 0.51, 0.00, 0.18
ont_3_airport, 0.46, 0.38, 0.41, 1.00, 0.01, 0.00, 0.13
ont_4_building, 0.56, 0.42, 0.46, 1.00, 0.00, 0.00, 0.12
ont_5_athlete, 0.56, 0.51, 0.52, 1.00, 0.00, 0.00, 0.15
ont_6_politician, 0.66, 0.52, 0.57, 1.00, 0.05, 0.00, 0.18
ont_7_company, 0.68, 0.57, 0.61, 1.00, 0.00, 0.00, 0.27
ont_8_celestialbody, 0.83, 0.79, 0.81, 1.00, 0.00, 0.00, 0.37
ont_9_astronaut, 0.75, 0.63, 0.67, 1.00, 0.00, 0.00, 0.27
ont_10_comicscharacter, 0.66, 0.53, 0.57, 1.00, 0.62, 0.00, 0.17
ont_11_meanoftransportation, 0.47, 0.37, 0.40, 1.00, 0.02, 0.00, 0.20
ont_12_monument, 0.17, 0.18, 0.18, 1.00, 0.00, 0.00, 0.11
ont_13_food, 0.68, 0.56, 0.60, 1.00, 0.02, 0.00, 0.06
ont_14_writtenwork, 0.64, 0.58, 0.60, 1.00, 0.07, 0.00, 0.20
ont_15_sportsteam, 0.61, 0.51, 0.55, 1.00, 0.01, 0.00, 0.08
ont_16_city, 0.48, 0.43, 0.45, 1.00, 0.32, 0.00, 0.24
ont_17_artist, 0.46, 0.33, 0.37, 1.00, 0.00, 0.00, 0.06
ont_18_scientist, 0.77, 0.69, 0.72, 1.00, 0.00, 0.00, 0.23
ont_19_film, 0.41, 0.37, 0.38, 1.00, 0.01, 0.00, 0.17
