onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.50, 0.32, 0.36, 1.00, 0.08, 0.00, 0.06
ont_2_music, 0.48, 0.36, 0.39, 1.00, 0.03, 0.00, 0.04
ont_3_sport, 0.61, 0.53, 0.54, 1.00, 0.06, 0.00, 0.05
ont_4_book, 0.44, 0.34, 0.36, 1.00, 0.00, 0.00, 0.01
ont_5_military, 0.39, 0.39, 0.39, 1.00, 0.05, 0.00, 0.04
ont_6_computer, 0.41, 0.41, 0.40, 0.98, 0.00, 0.02, 0.01
ont_7_space, 0.88, 0.85, 0.86, 1.00, 0.00, 0.00, 0.04
ont_8_politics, 0.42, 0.44, 0.42, 1.00, 0.06, 0.00, 0.09
ont_9_nature, 0.68, 0.65, 0.66, 1.00, 0.03, 0.00, 0.08
ont_10_culture, 0.78, 0.79, 0.78, 1.00, 0.00, 0.00, 0.02
