median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.391204, 0.391204, 0.391204, 1.000000, 0.000000, 0.000000, 0.056250
wikidata_tekgen, verified, 0.549731, 0.433011, 0.446297, 1.000000, 0.027727, 0.000000, 0.043827
wikidata_tekgen, all, 0.501875, 0.383544, 0.393558, 1.000000, 0.061333, 0.000000, 0.038126
dbpedia_webnlg, all, 0.611650, 0.534198, 0.562848, 1.000000, 0.007874, 0.000000, 0.193860

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.337500, 0.337500, 0.337500, 1.000000, 0.000000, 0.000000, 0.009259
wikidata_tekgen, verified, 0.458767, 0.370184, 0.392766, 1.000000, 0.005208, 0.000000, 0.016128
wikidata_tekgen, all, 0.452359, 0.362513, 0.380289, 1.000000, 0.056348, 0.000000, 0.018293
dbpedia_webnlg, all, 0.500333, 0.397258, 0.424280, 1.000000, 0.000000, 0.000000, 0.121769

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.632143, 0.632143, 0.632143, 1.000000, 0.000000, 0.000000, 0.075549
wikidata_tekgen, verified, 0.687417, 0.646338, 0.651417, 1.000000, 0.051192, 0.000000, 0.054602
wikidata_tekgen, all, 0.653942, 0.589834, 0.612959, 1.000000, 0.090619, 0.000000, 0.043431
dbpedia_webnlg, all, 0.689736, 0.576565, 0.606949, 1.000000, 0.053771, 0.000000, 0.252681

