onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.19, 0.19, 0.19, 1.00, 0.00, 0.00, 0.04
ont_2_music, 0.26, 0.26, 0.26, 1.00, 0.00, 0.00, 0.04
ont_3_sport, 0.38, 0.38, 0.38, 1.00, 0.00, 0.00, 0.19
ont_4_book, 0.25, 0.30, 0.27, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.43, 0.43, 0.43, 1.00, 0.00, 0.00, 0.07
ont_6_computer, 0.55, 0.55, 0.55, 0.80, 0.00, 0.20, 0.05
ont_7_space, 0.90, 0.90, 0.90, 1.00, 0.00, 0.00, 0.20
ont_8_politics, 0.33, 0.33, 0.33, 1.00, 0.08, 0.00, 0.08
ont_9_nature, 0.70, 0.70, 0.70, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.88, 0.88, 0.88, 1.00, 0.00, 0.00, 0.00
