median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.366667, 0.400000, 0.366667, 1.000000, 0.000000, 0.000000, 0.045833
wikidata_tekgen, verified, 0.372876, 0.400579, 0.368386, 1.000000, 0.005128, 0.000000, 0.018800
wikidata_tekgen, all, 0.311117, 0.341267, 0.309094, 1.000000, 0.007215, 0.000000, 0.023599

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.271429, 0.364011, 0.308631, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.341034, 0.355531, 0.328816, 1.000000, 0.000000, 0.000000, 0.012218
wikidata_tekgen, all, 0.295442, 0.329869, 0.291672, 1.000000, 0.004374, 0.000000, 0.009350

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.404687, 0.484375, 0.429167, 1.000000, 0.000000, 0.000000, 0.067460
wikidata_tekgen, verified, 0.385994, 0.451537, 0.396316, 1.000000, 0.013043, 0.000000, 0.035470
wikidata_tekgen, all, 0.361796, 0.344667, 0.326005, 1.000000, 0.015381, 0.000000, 0.035302

