onto, P, R, F1, OC, SH, RH, OH
ont_1_movie,    0.30, 0.34, 0.30, 1.00, 0.01, 0.00, 0.08
ont_2_music,    0.37, 0.34, 0.33, 1.00, 0.02, 0.00, 0.06
ont_3_sport,    0.31, 0.35, 0.30, 1.00, 0.05, 0.00, 0.03
ont_4_book,     0.29, 0.33, 0.29, 1.00, 0.01, 0.00, 0.03
ont_5_military, 0.14, 0.15, 0.14, 1.00, 0.00, 0.00, 0.01
ont_6_computer, 0.33, 0.34, 0.32, 1.00, 0.01, 0.00, 0.00
ont_7_space,    0.68, 0.70, 0.69, 1.00, 0.00, 0.00, 0.02
ont_8_politics, 0.31, 0.34, 0.32, 1.00, 0.00, 0.00, 0.04
ont_9_nature,   0.23, 0.27, 0.24, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.45, 0.50, 0.47, 1.00, 0.03, 0.00, 0.01
