onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.22, 0.38, 0.27, 1.00, 0.00, 0.00, 0.04
ont_2_music, 0.20, 0.22, 0.21, 1.00, 0.00, 0.00, 0.06
ont_3_sport, 0.41, 0.44, 0.42, 1.00, 0.19, 0.00, 0.00
ont_4_book, 0.27, 0.40, 0.31, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.29, 0.36, 0.31, 1.00, 0.00, 0.00, 0.07
ont_6_computer, 0.40, 0.40, 0.40, 1.00, 0.00, 0.00, 0.05
ont_7_space, 0.70, 0.70, 0.70, 1.00, 0.00, 0.00, 0.20
ont_8_politics, 0.33, 0.33, 0.33, 1.00, 0.00, 0.00, 0.08
ont_9_nature, 0.40, 0.50, 0.43, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.62, 0.62, 0.62, 1.00, 0.00, 0.00, 0.00
