onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.38, 0.46, 0.39, 1.00, 0.01, 0.00, 0.09
ont_2_music, 0.37, 0.34, 0.33, 1.00, 0.01, 0.00, 0.07
ont_3_sport, 0.32, 0.35, 0.31, 1.00, 0.07, 0.00, 0.02
ont_4_book, 0.34, 0.38, 0.33, 1.00, 0.00, 0.00, 0.02
ont_5_military, 0.10, 0.13, 0.11, 1.00, 0.00, 0.00, 0.01
ont_6_computer, 0.36, 0.37, 0.35, 1.00, 0.01, 0.00, 0.01
ont_7_space, 0.78, 0.80, 0.78, 1.00, 0.00, 0.00, 0.02
ont_8_politics, 0.39, 0.42, 0.40, 1.00, 0.00, 0.00, 0.04
ont_9_nature, 0.38, 0.43, 0.39, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.63, 0.68, 0.64, 1.00, 0.02, 0.00, 0.00
