onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.28, 0.34, 0.29, 1.00, 0.02, 0.00, 0.08
ont_2_music, 0.42, 0.35, 0.35, 1.00, 0.04, 0.00, 0.07
ont_3_sport, 0.73, 0.60, 0.64, 1.00, 0.22, 0.00, 0.05
ont_4_book, 0.44, 0.34, 0.36, 1.00, 0.07, 0.00, 0.02
ont_5_military, 0.34, 0.33, 0.33, 1.00, 0.03, 0.00, 0.11
ont_6_computer, 0.45, 0.32, 0.35, 1.00, 0.01, 0.00, 0.00
ont_7_space, 0.76, 0.71, 0.72, 1.00, 0.11, 0.00, 0.02
ont_8_politics, 0.35, 0.37, 0.35, 1.00, 0.05, 0.00, 0.06
ont_9_nature, 0.56, 0.51, 0.53, 1.00, 0.07, 0.00, 0.02
ont_10_culture, 0.66, 0.67, 0.67, 1.00, 0.02, 0.00, 0.01
