onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.39, 0.19, 0.24, 1.00, 0.00, 0.00, 0.01
ont_2_musicalwork, 0.25, 0.21, 0.22, 1.00, 0.39, 0.00, 0.28
ont_3_airport, 0.39, 0.38, 0.38, 1.00, 0.00, 0.00, 0.15
ont_4_building, 0.53, 0.45, 0.47, 1.00, 0.00, 0.00, 0.06
ont_5_athlete, 0.57, 0.51, 0.53, 1.00, 0.01, 0.00, 0.15
ont_6_politician, 0.50, 0.41, 0.43, 1.00, 0.07, 0.00, 0.14
ont_7_company, 0.25, 0.23, 0.23, 1.00, 0.00, 0.00, 0.22
ont_8_celestialbody, 0.75, 0.68, 0.70, 1.00, 0.01, 0.00, 0.36
ont_9_astronaut, 0.59, 0.30, 0.38, 1.00, 0.00, 0.00, 0.24
ont_10_comicscharacter, 0.52, 0.42, 0.46, 1.00, 0.55, 0.00, 0.07
ont_11_meanoftransportation, 0.42, 0.32, 0.35, 1.00, 0.00, 0.00, 0.20
ont_12_monument, 0.19, 0.17, 0.17, 1.00, 0.00, 0.00, 0.11
ont_13_food, 0.69, 0.60, 0.63, 1.00, 0.02, 0.00, 0.09
ont_14_writtenwork, 0.53, 0.44, 0.46, 1.00, 0.03, 0.00, 0.26
ont_15_sportsteam, 0.47, 0.34, 0.38, 1.00, 0.06, 0.00, 0.04
ont_16_city, 0.48, 0.47, 0.47, 1.00, 0.40, 0.00, 0.22
ont_17_artist, 0.45, 0.44, 0.44, 1.00, 0.00, 0.00, 0.05
ont_18_scientist, 0.42, 0.27, 0.31, 1.00, 0.01, 0.00, 0.19
ont_19_film, 0.30, 0.21, 0.23, 1.00, 0.00, 0.00, 0.14
