median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.362500, 0.362500, 0.362500, 1.000000, 0.037749, 0.000000, 0.050000
wikidata_tekgen, verified, 0.586629, 0.442066, 0.474480, 1.000000, 0.051007, 0.000000, 0.026235
wikidata_tekgen, all, 0.520630, 0.388442, 0.422954, 1.000000, 0.109706, 0.000000, 0.024462
dpedia_webnlg, all, 0.471753, 0.375527, 0.383961, 1.000000, 0.006231, 0.000000, 0.151869

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.308333, 0.308333, 0.308333, 1.000000, 0.000000, 0.000000, 0.037393
wikidata_tekgen, verified, 0.519531, 0.338442, 0.380844, 1.000000, 0.038035, 0.000000, 0.014902
wikidata_tekgen, all, 0.463170, 0.347976, 0.372114, 1.000000, 0.102851, 0.000000, 0.020888
dpedia_webnlg, all, 0.390864, 0.252705, 0.278474, 1.000000, 0.000000, 0.000000, 0.076498

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.612500, 0.612500, 0.612500, 1.000000, 0.075000, 0.000000, 0.080357
wikidata_tekgen, verified, 0.718098, 0.636041, 0.662046, 1.000000, 0.106579, 0.000000, 0.044131
wikidata_tekgen, all, 0.672174, 0.567034, 0.602088, 1.000000, 0.164600, 0.000000, 0.035495
dpedia_webnlg, all, 0.530147, 0.443539, 0.464485, 1.000000, 0.046254, 0.000000, 0.219703

