onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.57, 0.31, 0.37, 1.00, 0.15, 0.00, 0.04
ont_2_music, 0.60, 0.38, 0.44, 1.00, 0.11, 0.00, 0.02
ont_3_sport, 0.66, 0.54, 0.58, 1.00, 0.16, 0.00, 0.09
ont_4_book, 0.53, 0.38, 0.42, 1.00, 0.10, 0.00, 0.03
ont_5_military, 0.32, 0.29, 0.30, 1.00, 0.05, 0.00, 0.01
ont_6_computer, 0.42, 0.33, 0.35, 1.00, 0.01, 0.00, 0.01
ont_7_space, 0.84, 0.84, 0.84, 1.00, 0.05, 0.00, 0.02
ont_8_politics, 0.52, 0.50, 0.51, 1.00, 0.05, 0.00, 0.05
ont_9_nature, 0.74, 0.67, 0.69, 1.00, 0.02, 0.00, 0.07
ont_10_culture, 0.81, 0.81, 0.81, 1.00, 0.04, 0.00, 0.00
