onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.11, 0.04, 0.06, 0.27, 0.00, 0.73, 0.00
ont_2_musicalwork, 0.00, 0.00, 0.00, 0.30, 0.00, 0.70, 0.00
ont_3_airport, 0.01, 0.02, 0.01, 0.28, 0.00, 0.72, 0.00
ont_4_building, 0.14, 0.10, 0.10, 0.44, 0.00, 0.56, 0.01
ont_5_athlete, 0.00, 0.00, 0.00, 0.01, 0.00, 0.99, 0.00
ont_6_politician, 0.02, 0.02, 0.02, 0.17, 0.00, 0.83, 0.01
ont_7_company, 0.00, 0.00, 0.00, 0.12, 0.00, 0.88, 0.00
ont_8_celestialbody, 0.00, 0.00, 0.00, 0.03, 0.00, 0.97, 0.00
ont_9_astronaut, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00
ont_10_comicscharacter, 0.16, 0.08, 0.10, 0.76, 0.00, 0.24, 0.03
ont_11_meanoftransportation, 0.13, 0.05, 0.07, 0.50, 0.00, 0.50, 0.03
ont_12_monument, 0.01, 0.02, 0.02, 0.51, 0.00, 0.49, 0.00
ont_13_food, 0.03, 0.03, 0.03, 0.35, 0.01, 0.65, 0.02
ont_14_writtenwork, 0.31, 0.13, 0.17, 0.60, 0.00, 0.40, 0.01
ont_15_sportsteam, 0.17, 0.08, 0.10, 0.33, 0.00, 0.67, 0.00
ont_16_city, 0.10, 0.09, 0.08, 0.34, 0.00, 0.66, 0.01
ont_17_artist, 0.33, 0.12, 0.17, 0.60, 0.00, 0.40, 0.00
ont_18_scientist, 0.03, 0.03, 0.03, 0.11, 0.01, 0.89, 0.01
ont_19_film, 0.04, 0.06, 0.05, 0.20, 0.00, 0.80, 0.02
