onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.21, 0.18, 0.18, 0.52, 0.01, 0.48, 0.02
ont_2_music, 0.30, 0.27, 0.26, 0.66, 0.01, 0.34, 0.00
ont_3_sport, 0.16, 0.20, 0.16, 0.48, 0.01, 0.52, 0.00
ont_4_book, 0.26, 0.23, 0.23, 0.57, 0.01, 0.43, 0.01
ont_5_military, 0.05, 0.05, 0.05, 0.10, 0.01, 0.90, 0.02
ont_6_computer, 0.15, 0.17, 0.15, 0.38, 0.01, 0.62, 0.01
ont_7_space, 0.35, 0.44, 0.38, 0.37, 0.00, 0.63, 0.01
ont_8_politics, 0.25, 0.33, 0.27, 0.49, 0.02, 0.51, 0.03
ont_9_nature, 0.14, 0.25, 0.16, 0.46, 0.00, 0.54, 0.02
ont_10_culture, 0.05, 0.05, 0.05, 0.34, 0.00, 0.66, 0.01
