onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.11, 0.15, 0.12, 0.88, 0.00, 0.12, 0.00
ont_2_music, 0.22, 0.22, 0.22, 0.70, 0.00, 0.30, 0.00
ont_3_sport, 0.03, 0.06, 0.04, 0.41, 0.00, 0.59, 0.00
ont_4_book, 0.10, 0.10, 0.10, 0.70, 0.00, 0.30, 0.00
ont_5_military, 0.14, 0.14, 0.14, 0.14, 0.00, 0.86, 0.14
ont_6_computer, 0.30, 0.30, 0.30, 0.42, 0.00, 0.58, 0.05
ont_7_space, 0.30, 0.30, 0.30, 0.30, 0.10, 0.70, 0.10
ont_8_politics, 0.25, 0.25, 0.25, 0.75, 0.00, 0.25, 0.08
ont_9_nature, 0.31, 0.45, 0.35, 0.65, 0.00, 0.35, 0.00
ont_10_culture, 0.12, 0.12, 0.12, 0.38, 0.00, 0.62, 0.00
