onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.25, 0.22, 0.22, 0.65, 0.01, 0.35, 0.03
ont_2_music, 0.33, 0.29, 0.29, 0.67, 0.00, 0.33, 0.01
ont_3_sport, 0.18, 0.20, 0.18, 0.51, 0.00, 0.49, 0.00
ont_4_book, 0.28, 0.22, 0.23, 0.63, 0.01, 0.37, 0.01
ont_5_military, 0.05, 0.05, 0.05, 0.09, 0.00, 0.91, 0.03
ont_6_computer, 0.19, 0.21, 0.18, 0.41, 0.01, 0.59, 0.02
ont_7_space, 0.44, 0.51, 0.46, 0.44, 0.01, 0.56, 0.01
ont_8_politics, 0.33, 0.38, 0.34, 0.64, 0.01, 0.36, 0.05
ont_9_nature, 0.24, 0.42, 0.28, 0.57, 0.00, 0.43, 0.01
ont_10_culture, 0.05, 0.05, 0.05, 0.48, 0.00, 0.52, 0.00
