onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.08, 0.13, 0.10, 0.36, 0.00, 0.64, 0.00
ont_2_musicalwork, 0.00, 0.01, 0.00, 0.33, 0.02, 0.67, 0.00
ont_3_airport, 0.03, 0.06, 0.04, 0.25, 0.00, 0.75, 0.01
ont_4_building, 0.10, 0.22, 0.14, 0.40, 0.00, 0.60, 0.01
ont_5_athlete, 0.01, 0.04, 0.01, 0.03, 0.01, 0.97, 0.02
ont_6_politician, 0.03, 0.07, 0.04, 0.23, 0.01, 0.77, 0.03
ont_7_company, 0.01, 0.06, 0.02, 0.16, 0.01, 0.84, 0.01
ont_8_celestialbody, 0.00, 0.00, 0.00, 0.01, 0.01, 0.99, 0.02
ont_9_astronaut, 0.02, 0.04, 0.03, 0.03, 0.01, 0.97, 0.03
ont_10_comicscharacter, 0.06, 0.13, 0.08, 0.46, 0.01, 0.54, 0.02
ont_11_meanoftransportation, 0.05, 0.13, 0.07, 0.44, 0.01, 0.56, 0.03
ont_12_monument, 0.02, 0.06, 0.03, 0.37, 0.01, 0.63, 0.01
ont_13_food, 0.06, 0.15, 0.09, 0.31, 0.01, 0.69, 0.03
ont_14_writtenwork, 0.09, 0.19, 0.12, 0.52, 0.02, 0.48, 0.02
ont_15_sportsteam, 0.07, 0.13, 0.09, 0.32, 0.00, 0.68, 0.01
ont_16_city, 0.06, 0.19, 0.09, 0.41, 0.02, 0.59, 0.04
ont_17_artist, 0.12, 0.21, 0.15, 0.46, 0.00, 0.54, 0.01
ont_18_scientist, 0.03, 0.09, 0.04, 0.13, 0.02, 0.87, 0.02
ont_19_film, 0.02, 0.09, 0.02, 0.17, 0.01, 0.83, 0.02
