onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.11, 0.23, 0.14, 1.00, 0.03, 0.00, 0.01
ont_2_music, 0.03, 0.11, 0.05, 1.00, 0.01, 0.00, 0.00
ont_3_sport, 0.03, 0.19, 0.05, 1.00, 0.05, 0.00, 0.05
ont_4_book, 0.08, 0.15, 0.10, 1.00, 0.01, 0.00, 0.04
ont_5_military, 0.07, 0.29, 0.11, 1.00, 0.08, 0.00, 0.22
ont_6_computer, 0.02, 0.05, 0.03, 1.00, 0.00, 0.00, 0.00
ont_7_space, 0.07, 0.30, 0.11, 1.00, 0.15, 0.00, 0.10
ont_8_politics, 0.05, 0.25, 0.08, 1.00, 0.01, 0.00, 0.07
ont_9_nature, 0.11, 0.40, 0.16, 1.00, 0.02, 0.00, 0.01
ont_10_culture, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
