onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.01, 0.01, 0.01, 1.00, 0.04, 0.00, 0.01
ont_2_music, 0.04, 0.03, 0.03, 1.00, 0.04, 0.00, 0.00
ont_3_sport, 0.02, 0.04, 0.03, 1.00, 0.01, 0.00, 0.02
ont_4_book, 0.03, 0.03, 0.03, 1.00, 0.02, 0.00, 0.00
ont_5_military, 0.05, 0.07, 0.06, 1.00, 0.01, 0.00, 0.02
ont_6_computer, 0.01, 0.01, 0.01, 1.00, 0.00, 0.00, 0.00
ont_7_space, 0.17, 0.23, 0.18, 1.00, 0.02, 0.00, 0.04
ont_8_politics, 0.03, 0.08, 0.05, 1.00, 0.01, 0.00, 0.02
ont_9_nature, 0.08, 0.14, 0.09, 1.00, 0.01, 0.00, 0.01
ont_10_culture, 0.00, 0.00, 0.00, 1.00, 0.01, 0.00, 0.00
