median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, all, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
dbpedia_webnlg, all, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, all, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
dbpedia_webnlg, all, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, all, 0.000507, 0.001521, 0.000761, 1.000000, 0.001168, 0.000000, 0.000000
dbpedia_webnlg, all, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000

