onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_2_musicalwork, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_3_airport, 0.01, 0.00, 0.01, 1.00, 0.00, 0.00, 0.00
ont_4_building, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_5_athlete, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_6_politician, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_7_company, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_8_celestialbody, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_9_astronaut, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_10_comicscharacter, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_11_meanoftransportation, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_12_monument, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_13_food, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_14_writtenwork, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_15_sportsteam, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_16_city, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_17_artist, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_18_scientist, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
ont_19_film, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
