onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.10, 0.08, 0.08, 0.33, 0.00, 0.67, 0.00
ont_2_musicalwork, 0.00, 0.00, 0.00, 0.31, 0.02, 0.69, 0.00
ont_3_airport, 0.02, 0.02, 0.02, 0.27, 0.00, 0.73, 0.00
ont_4_building, 0.11, 0.11, 0.11, 0.40, 0.00, 0.60, 0.00
ont_5_athlete, 0.01, 0.01, 0.01, 0.03, 0.00, 0.97, 0.00
ont_6_politician, 0.02, 0.03, 0.02, 0.17, 0.00, 0.83, 0.01
ont_7_company, 0.01, 0.01, 0.01, 0.19, 0.00, 0.81, 0.00
ont_8_celestialbody, 0.00, 0.00, 0.00, 0.04, 0.00, 0.96, 0.00
ont_9_astronaut, 0.02, 0.01, 0.02, 0.02, 0.00, 0.98, 0.00
ont_10_comicscharacter, 0.15, 0.10, 0.11, 0.69, 0.01, 0.31, 0.02
ont_11_meanoftransportation, 0.10, 0.08, 0.09, 0.48, 0.01, 0.52, 0.03
ont_12_monument, 0.01, 0.02, 0.02, 0.43, 0.00, 0.57, 0.00
ont_13_food, 0.04, 0.04, 0.04, 0.33, 0.01, 0.67, 0.03
ont_14_writtenwork, 0.17, 0.14, 0.15, 0.59, 0.01, 0.41, 0.01
ont_15_sportsteam, 0.12, 0.11, 0.11, 0.37, 0.00, 0.63, 0.00
ont_16_city, 0.09, 0.13, 0.10, 0.40, 0.01, 0.60, 0.02
ont_17_artist, 0.24, 0.17, 0.19, 0.49, 0.00, 0.51, 0.01
ont_18_scientist, 0.03, 0.04, 0.03, 0.11, 0.01, 0.89, 0.01
ont_19_film, 0.04, 0.07, 0.05, 0.19, 0.00, 0.81, 0.01
