median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.211111, 0.300000, 0.240123, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.304597, 0.306114, 0.288184, 1.000000, 0.002232, 0.000000, 0.008104
wikidata_tekgen, all, 0.254820, 0.272595, 0.234496, 1.000000, 0.008521, 0.000000, 0.004351
dbpedia_webnlg, all, 0.059055, 0.039150, 0.047619, 1.000000, 0.000000, 0.000000, 0.000000

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.148810, 0.181217, 0.160027, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.231200, 0.246652, 0.225353, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, all, 0.205415, 0.225661, 0.211264, 1.000000, 0.003291, 0.000000, 0.003346
dbpedia_webnlg, all, 0.025816, 0.016125, 0.021556, 1.000000, 0.000000, 0.000000, 0.000000

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.268750, 0.326923, 0.295833, 1.000000, 0.000000, 0.000000, 0.059821
wikidata_tekgen, verified, 0.326821, 0.402122, 0.342469, 1.000000, 0.006752, 0.000000, 0.012955
wikidata_tekgen, all, 0.297308, 0.323290, 0.285447, 1.000000, 0.018240, 0.000000, 0.010388
dbpedia_webnlg, all, 0.189683, 0.112190, 0.132450, 1.000000, 0.003670, 0.000000, 0.011390

