onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.17, 0.26, 0.19, 0.51, 0.03, 0.49, 0.02
ont_2_music, 0.19, 0.38, 0.24, 0.62, 0.04, 0.38, 0.01
ont_3_sport, 0.12, 0.30, 0.16, 0.48, 0.01, 0.52, 0.01
ont_4_book, 0.15, 0.32, 0.19, 0.50, 0.02, 0.50, 0.01
ont_5_military, 0.05, 0.16, 0.07, 0.12, 0.01, 0.88, 0.02
ont_6_computer, 0.11, 0.26, 0.15, 0.38, 0.02, 0.62, 0.02
ont_7_space, 0.16, 0.49, 0.24, 0.27, 0.01, 0.73, 0.02
ont_8_politics, 0.12, 0.40, 0.18, 0.39, 0.03, 0.61, 0.03
ont_9_nature, 0.09, 0.32, 0.14, 0.43, 0.01, 0.57, 0.02
ont_10_culture, 0.03, 0.10, 0.04, 0.29, 0.01, 0.71, 0.00
