onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.15, 0.38, 0.20, 1.00, 0.00, 0.00, 0.00
ont_2_music, 0.18, 0.30, 0.21, 1.00, 0.02, 0.00, 0.00
ont_3_sport, 0.09, 0.12, 0.10, 1.00, 0.02, 0.00, 0.02
ont_4_book, 0.22, 0.35, 0.26, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.18, 0.21, 0.19, 1.00, 0.00, 0.00, 0.11
ont_6_computer, 0.19, 0.40, 0.25, 1.00, 0.01, 0.00, 0.04
ont_7_space, 0.23, 0.30, 0.25, 1.00, 0.05, 0.00, 0.10
ont_8_politics, 0.31, 0.50, 0.36, 1.00, 0.00, 0.00, 0.06
ont_9_nature, 0.25, 0.45, 0.30, 1.00, 0.02, 0.00, 0.00
ont_10_culture, 0.04, 0.12, 0.06, 1.00, 0.00, 0.00, 0.00
