onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.21, 0.29, 0.23, 1.00, 0.02, 0.00, 0.03
ont_2_music, 0.23, 0.32, 0.25, 1.00, 0.02, 0.00, 0.01
ont_3_sport, 0.08, 0.21, 0.11, 1.00, 0.01, 0.00, 0.01
ont_4_book, 0.18, 0.24, 0.19, 1.00, 0.01, 0.00, 0.00
ont_5_military, 0.11, 0.26, 0.15, 1.00, 0.01, 0.00, 0.05
ont_6_computer, 0.16, 0.18, 0.16, 1.00, 0.02, 0.00, 0.01
ont_7_space, 0.24, 0.63, 0.33, 1.00, 0.02, 0.00, 0.01
ont_8_politics, 0.14, 0.40, 0.20, 1.00, 0.01, 0.00, 0.04
ont_9_nature, 0.15, 0.47, 0.22, 1.00, 0.01, 0.00, 0.01
ont_10_culture, 0.10, 0.18, 0.12, 1.00, 0.00, 0.00, 0.00
