onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.17, 0.34, 0.21, 0.57, 0.03, 0.43, 0.02
ont_2_music, 0.17, 0.46, 0.24, 0.60, 0.03, 0.40, 0.01
ont_3_sport, 0.09, 0.32, 0.13, 0.47, 0.01, 0.53, 0.01
ont_4_book, 0.16, 0.40, 0.21, 0.53, 0.01, 0.47, 0.01
ont_5_military, 0.03, 0.14, 0.06, 0.10, 0.02, 0.90, 0.04
ont_6_computer, 0.11, 0.40, 0.17, 0.39, 0.01, 0.61, 0.02
ont_7_space, 0.16, 0.59, 0.25, 0.31, 0.03, 0.69, 0.01
ont_8_politics, 0.11, 0.50, 0.17, 0.45, 0.01, 0.55, 0.03
ont_9_nature, 0.11, 0.47, 0.17, 0.48, 0.02, 0.52, 0.01
ont_10_culture, 0.01, 0.07, 0.02, 0.31, 0.00, 0.69, 0.01
