onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.26, 0.36, 0.28, 1.00, 0.04, 0.00, 0.02
ont_2_music, 0.27, 0.47, 0.32, 1.00, 0.03, 0.00, 0.02
ont_3_sport, 0.22, 0.35, 0.25, 1.00, 0.01, 0.00, 0.01
ont_4_book, 0.27, 0.41, 0.31, 1.00, 0.02, 0.00, 0.00
ont_5_military, 0.10, 0.14, 0.11, 1.00, 0.01, 0.00, 0.03
ont_6_computer, 0.23, 0.34, 0.25, 1.00, 0.01, 0.00, 0.01
ont_7_space, 0.39, 0.59, 0.46, 1.00, 0.02, 0.00, 0.01
ont_8_politics, 0.28, 0.52, 0.34, 1.00, 0.00, 0.00, 0.03
ont_9_nature, 0.26, 0.47, 0.31, 1.00, 0.00, 0.00, 0.01
ont_10_culture, 0.03, 0.07, 0.04, 1.00, 0.00, 0.00, 0.01
